name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage."
Park Tavern: The Piedmont Room & Piedmont Garden Tent,"Atlanta, GA",$$,251-300 Guests,4.7,132,"Located in the heart of the city overlooking Piedmont Park, our venues celebrate what Atlanta is all about: city skylines tucked in among the trees and seasonal colors."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,Monday Night Garage is one of Atlanta’s most charming and inviting private event spaces.
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative.
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Grana Piedmont provides 3 levels of event space with authentic Southern Italian cuisine.
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, GA."
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,"FORTH Hotel Atlanta is a deluxe wedding venue in Atlanta, GA, with an elegant ballroom and state-of-the-art facilities."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,Ambient + Studio is a unique wedding venue built in 1910.
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,"Book your wedding, wedding reception or rehearsal dinner at Wahoo! and you can relax, enjoy and leave the rest to our outstanding staff."
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,"Villa Christina at Hyatt Regency is a hotel and wedding venue located in Atlanta, GA, surrounded by 83 acres of lovingly landscaped gardens."
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,"From weddings to rehearsal dinners, bridal events and more, Ecco Buckhead is an enchanting and elegant restaurant wedding venue."
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0,0,"The Kimpton Shane is a boutique hotel venue in Atlanta, GA, specializing in weddings and events."
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,The White Bull is a restaurant wedding venue specializing in Italian farm-to-table cuisine.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,"Emory Conference Center Hotel is an elegant venue situated in Atlanta, GA, offering versatility and unique surroundings."
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,5,7,"Swan Coach House is an elegant wedding venue in Atlanta, GA, originally part of Atlanta’s famed Inman family estate."
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,The Wimbish House has been the destination for weddings and events for nearly a century.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,Wow your guests in the Historic DeKalb Courthouse; a premier wedding venue in the heart of charming Decatur.
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5,3,"Epicurean Hotel Atlanta is a luxe and lavish wedding venue in Atlanta, GA."
Renaissance Atlanta Midtown Hotel,"Midtown Atlanta, GA",$$$,300+ Guests,5,2,Renaissance Atlanta Midtown Hotel is a wedding venue in the heart of the arts and music district.
SCAD Ivy Hall,"Atlanta, GA",$$,101-150 Guests,4.5,4,"SCAD Ivy Hall is a historic wedding venue situated in Atlanta, GA."
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,Grand Hyatt Atlanta in Buckhead is an urban retreat to rival the comfort and luxury of home.
The Marianna at Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,"The Marianna at Wrecking Bar Brewpub is a historic mansion wedding venue located in Atlanta, GA."
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,"Callanwolde Fine Arts Center is a unique wedding venue in Atlanta, GA, with a century-long legacy."
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,InterContinental Buckhead Atlanta is a hotel wedding venue that combines classic charm with modern luxury.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$,300+ Guests,5,2,Omni Atlanta Hotel at Centennial Park is the perfect Atlanta wedding venue in the heart of downtown.
